Cruise Passenger Arrivals - 2015 & 2014,,,,,,,
,,,,2015,,2014,
Dcode,Destination,Period,Months,Visitors for this period,Average visitors/month,Visitors for this period,% change
Ant,,Jan-Mar,3,"320,401",,"270,262",
Aru,,Jan-Mar,3,"214,991",,"258,408",
Bah,,Jan-Mar,3,"1,358,623",,"1,377,043",
Bar,,Jan-Feb,2,"146,520",,"161,811",
Blz,,Jan-Apr,4,"447,250",,"426,406",
Ber,,Jan-Apr,4,"18,718",,"25,433",
Bri,,Jan-Mar,3,"211,543",,"243,453",
Cay,,Jan-Apr,4,"719,298",,"677,663",
Coz,,Jan-Apr,4,"1,455,974",,"1,357,701",
Cur,,Jan-Apr,4,"264,521",,"295,373",
Dom,,Jan-Mar,3,"148,635",,"165,222",
Dre,,Jan-Apr,4,"238,811",,"259,079",
Grn,,Jan-Mar,3,"133,072",,"125,461",
Jam,,Jan-Apr,4,"654,407",,"588,691",
Mrq,,Jan-Apr,4,"167,610",,"114,285",
Pue,,Jan-Mar,3,"526,428",,"417,011",
Slu,,Jan-Apr,4,"351,717",,"322,973",
StV,,Jan-Apr,4,"52,219",,"54,853",
UVI,,Jan-Apr,4,"842,988",,"880,318",
